sleutel,waarde_exact,weergave,omschrijving
w_ns_2016,22.30756608,22%,nationale solidariteit werknemers 2016
w_ns_2017,26.10495868,26%,nationale solidariteit werknemers 2017
w_ns_2019,27.02958163,27%,nationale solidariteit werknemers 2019
w_ns_2020,35.04455143,35%,nationale solidariteit werknemers 2020
w_ns_2022,28.87465505,29%,nationale solidariteit werknemers 2022
w_ns_2023,30.28790103,30%,nationale solidariteit werknemers 2023
w_ns_pp_2000_2023,9.339667612,"+9,3 procentpunt",verandering nationale solidariteit werknemers 2000-2023
w_ns_pp_2000_2007,7.288305766,"+7,3 procentpunt",verandering nationale solidariteit werknemers 2000-2007
w_ns_pp_2007_2009,-1.872777934,"-1,9 procentpunt",verandering nationale solidariteit werknemers 2007-2009
w_ns_pp_2009_2014,6.347111135,"+6,3 procentpunt",verandering nationale solidariteit werknemers 2009-2014
w_ns_pp_2014_2015,-11.42391757,"-11,4 procentpunt",verandering nationale solidariteit werknemers 2014-2015
w_ns_pp_2015_2019,5.74262682,"+5,7 procentpunt",verandering nationale solidariteit werknemers 2015-2019
w_ns_pp_2019_2020,8.0149698,"+8,0 procentpunt",verandering nationale solidariteit werknemers 2019-2020
w_ns_pp_2019_2022,1.845073413,"+1,8 procentpunt",verandering nationale solidariteit werknemers 2019-2022
w_ns_pp_2022_2023,1.413245981,"+1,4 procentpunt",verandering nationale solidariteit werknemers 2022-2023
w_ns_rel_2000_2023,44.58451186,+45%,relatieve verandering NS werknemers 2000-2023
w_aandeel_bijdragen_2000,72.31312479,72%,aandeel bijdragen werknemers 2000
w_aandeel_bijdragen_2016,73.95101156,74%,aandeel bijdragen werknemers 2016
w_aandeel_bijdragen_2017,70.48498156,70%,aandeel bijdragen werknemers 2017
w_aandeel_bijdragen_2020,62.1201334,62%,aandeel bijdragen werknemers 2020
w_aandeel_bijdragen_2023,67.16994609,67%,aandeel bijdragen werknemers 2023
w_aandeel_toelagen_2000,12.19149242,12%,aandeel toelagen werknemers 2000
w_aandeel_toelagen_2016,12.52890661,13%,aandeel toelagen werknemers 2016
w_aandeel_toelagen_2017,9.527228556,10%,aandeel toelagen werknemers 2017
w_aandeel_toelagen_2020,17.40275811,17%,aandeel toelagen werknemers 2020
w_aandeel_toelagen_2023,9.601474994,10%,aandeel toelagen werknemers 2023
w_aandeel_alternatieve_2000,8.756740998,9%,aandeel alternatieve werknemers 2000
w_aandeel_alternatieve_2016,9.778659467,10%,aandeel alternatieve werknemers 2016
w_aandeel_alternatieve_2017,16.57773013,17%,aandeel alternatieve werknemers 2017
w_aandeel_alternatieve_2020,17.64179333,18%,aandeel alternatieve werknemers 2020
w_aandeel_alternatieve_2023,20.68642604,21%,aandeel alternatieve werknemers 2023
w_aandeel_overige_2000,6.738641788,7%,aandeel overige werknemers 2000
w_aandeel_overige_2016,3.741422361,4%,aandeel overige werknemers 2016
w_aandeel_overige_2017,3.410059759,3%,aandeel overige werknemers 2017
w_aandeel_overige_2020,2.835315167,3%,aandeel overige werknemers 2020
w_aandeel_overige_2023,2.542152879,3%,aandeel overige werknemers 2023
w_toelagen_2016,8.071355558,"€8,1 miljard",toelagen werknemers 2016
w_toelagen_2017,6.622597844,"€6,6 miljard",toelagen werknemers 2017
w_altfin_2016,6.299595,"€6,3 miljard",alternatieve financiering werknemers 2016
w_altfin_2017,11.52356524,"€11,5 miljard",alternatieve financiering werknemers 2017
w_toelagen_in_ns_2016,56.16438193,56%,toelagen binnen NS werknemers 2016
w_toelagen_in_ns_2017,36.49585764,36%,toelagen binnen NS werknemers 2017
w_toelagen_in_ns_2020,49.65895523,50%,toelagen binnen NS werknemers 2020
w_toelagen_in_ns_2023,31.70069456,32%,toelagen binnen NS werknemers 2023
w_altfin_btw_min,64.46749355,64%,laagste aandeel btw in alternatieve financiering werknemers
w_altfin_btw_max,100,100%,hoogste aandeel btw in alternatieve financiering werknemers
w_altfin_rv_max,28.90135001,29%,hoogste aandeel roerende voorheffing in alternatieve financiering werknemers
w_altfin_ander_max,9.26001856,9%,hoogste aandeel andere bronnen in alternatieve financiering werknemers
w_toelagen_in_ns_1719_min,31.0307187,31%,laagste aandeel toelagen binnen NS werknemers 2017-2019
w_toelagen_in_ns_1719_max,36.49585764,36%,hoogste aandeel toelagen binnen NS werknemers 2017-2019
w_btw_in_inkomsten_2023,16.78990307,17%,btw als aandeel van de inkomsten werknemers 2023
w_btw_in_ns_2023,55.43435663,55%,btw als aandeel van de nationale solidariteit werknemers 2023
gi_verschil_min,1.820056195,"1,8",kleinste verschil gezondheidsindex - CPI in groei 2003-2023 (procentpunt)
gi_verschil_max,2.272628051,"2,3",grootste verschil gezondheidsindex - CPI in groei 2003-2023 (procentpunt)
z2_bijdr_cpi_2003_2023,-3.005593813,"-3,0%","reële bijdragen per capita Z2 2003-2023, deflator cpi"
z2_bijdr_gi_2003_2023,-1.185537618,"-1,2%","reële bijdragen per capita Z2 2003-2023, deflator gezondheidsindex"
rsvz_helpers_2002,44089,44.089,RSVZ helpers 2002
rsvz_helpers_2003,102829,102.829,RSVZ helpers 2003
rsvz_helpers_2002_2003,133.230511,+133%,groei helpers 2002-2003
rsvz_totaal_2002_2003,7.720523051,"+7,7%",groei zelfstandigen en helpers 2002-2003
ksz_helpers_2003,97093,97.093,"KSZ helpers (n13) 2003, vierde kwartaal"
sr_n_extra,342532,342.532,extra vennootschappen 2003-2023
sr_vb_2023,409.5238778,€410,gemiddelde vennootschapsbijdrage 2023
sr_omslag,1997.677453,€1.998,omslagpunt: winst buiten bijdragebasis per extra vennootschap
sr_omslag_afgerond,2000,€2.000,"omslagpunt, afgerond op 100 euro"
sr_ratio_2023,57.15825667,"57,2%",beroepssolidariteit zelfstandigen 2023 (totalen)
sr_1pp_mio,93.31502007,93,1 procentpunt in miljoen euro
sr_delta_bl,73179,73.179,extra bedrijfsleiders AJ2015-AJ2022
sr_delta_venn,140737,140.737,extra vennootschappen 2014-2021
sr_bl_per_venn,0.5199698729,"0,52",extra bedrijfsleiders per extra vennootschap
sr_plafond_1,72810.94,"€72.810,94",eerste plafond 2024
sr_plafond_2,107300.3,"€107.300,30",tweede plafond 2024
sr_vb_typegeval,387.34,"€387,34","vennootschapsbijdrage 2024, laag bedrag (typegevallen Bijlage 6)"
sr_min_bezoldiging,45000,€45.000,minimumbezoldiging verlaagd tarief
ratio_z1_pp_2003_2023,-7.316152998,"-7,3 procentpunt",verandering beroepssolidariteit Z1 2003-2023
abc_plafond_personen,3.5,"3,5%",ABC Tabel 7: aandeel hoofdberoepers boven de maximumgrens
abc_plafond_inkomensmassa,19.9,20%,ABC Tabel 7: hun aandeel in de inkomensmassa
abc_plafond_bijdragen,9.9,10%,ABC Tabel 7: hun aandeel in de bijdragen
abc_plafond_rel,6.208405988,6%,plafond weg: statische stijging gewone bijdragen hoofdberoepers
abc_plafond_mln_laag,200,200,"plafond weg: ondergrens (miljoen euro, niveau 2023)"
abc_plafond_mln_hoog,310,310,"plafond weg: bovengrens (miljoen euro, niveau 2023)"
abc_plafond_kloof_laag,34.4839986,34%,plafond weg: ondergrens als deel van de financieringskloof
abc_plafond_kloof_hoog,55.15824177,55%,plafond weg: bovengrens als deel van de financieringskloof
sr_typ2_buiten,15000,€15.000,typegeval 2: winst die niet als bezoldiging wordt uitgekeerd
sr_pp_s25_x0,-1.50324,"-1,5 procentpunt","scenario s=25%, X=0 euro: verschil beroepssolidariteit 2023"
sr_tab_s25_x0,-1.50324,"-1,5","scenario s=25%, X=0 euro: procentpunt (tabelweergave)"
sr_mio_s25_x0,-140.275,-140,"scenario s=25%, X=0 euro: verschil in miljoen euro"
sr_pp_s25_x2000,-1.12699,"-1,1 procentpunt","scenario s=25%, X=2000 euro: verschil beroepssolidariteit 2023"
sr_tab_s25_x2000,-1.12699,"-1,1","scenario s=25%, X=2000 euro: procentpunt (tabelweergave)"
sr_mio_s25_x2000,-105.166,-105,"scenario s=25%, X=2000 euro: verschil in miljoen euro"
sr_pp_s25_x5000,-0.562623,"-0,6 procentpunt","scenario s=25%, X=5000 euro: verschil beroepssolidariteit 2023"
sr_tab_s25_x5000,-0.562623,"-0,6","scenario s=25%, X=5000 euro: procentpunt (tabelweergave)"
sr_mio_s25_x5000,-52.5012,-53,"scenario s=25%, X=5000 euro: verschil in miljoen euro"
sr_pp_s25_x10000,0.377995,"+0,4 procentpunt","scenario s=25%, X=10000 euro: verschil beroepssolidariteit 2023"
sr_tab_s25_x10000,0.377995,"+0,4","scenario s=25%, X=10000 euro: procentpunt (tabelweergave)"
sr_mio_s25_x10000,35.2726,+35,"scenario s=25%, X=10000 euro: verschil in miljoen euro"
sr_pp_s25_x15000,1.31861,"+1,3 procentpunt","scenario s=25%, X=15000 euro: verschil beroepssolidariteit 2023"
sr_tab_s25_x15000,1.31861,"+1,3","scenario s=25%, X=15000 euro: procentpunt (tabelweergave)"
sr_mio_s25_x15000,123.046,+123,"scenario s=25%, X=15000 euro: verschil in miljoen euro"
sr_pp_s25_x20000,2.25923,"+2,3 procentpunt","scenario s=25%, X=20000 euro: verschil beroepssolidariteit 2023"
sr_tab_s25_x20000,2.25923,"+2,3","scenario s=25%, X=20000 euro: procentpunt (tabelweergave)"
sr_mio_s25_x20000,210.82,+211,"scenario s=25%, X=20000 euro: verschil in miljoen euro"
sr_pp_s50_x0,-1.50324,"-1,5 procentpunt","scenario s=50%, X=0 euro: verschil beroepssolidariteit 2023"
sr_tab_s50_x0,-1.50324,"-1,5","scenario s=50%, X=0 euro: procentpunt (tabelweergave)"
sr_mio_s50_x0,-140.275,-140,"scenario s=50%, X=0 euro: verschil in miljoen euro"
sr_pp_s50_x2000,-0.750747,"-0,8 procentpunt","scenario s=50%, X=2000 euro: verschil beroepssolidariteit 2023"
sr_tab_s50_x2000,-0.750747,"-0,8","scenario s=50%, X=2000 euro: procentpunt (tabelweergave)"
sr_mio_s50_x2000,-70.056,-70,"scenario s=50%, X=2000 euro: verschil in miljoen euro"
sr_pp_s50_x5000,0.377995,"+0,4 procentpunt","scenario s=50%, X=5000 euro: verschil beroepssolidariteit 2023"
sr_tab_s50_x5000,0.377995,"+0,4","scenario s=50%, X=5000 euro: procentpunt (tabelweergave)"
sr_mio_s50_x5000,35.2726,+35,"scenario s=50%, X=5000 euro: verschil in miljoen euro"
sr_pp_s50_x10000,2.25923,"+2,3 procentpunt","scenario s=50%, X=10000 euro: verschil beroepssolidariteit 2023"
sr_tab_s50_x10000,2.25923,"+2,3","scenario s=50%, X=10000 euro: procentpunt (tabelweergave)"
sr_mio_s50_x10000,210.82,+211,"scenario s=50%, X=10000 euro: verschil in miljoen euro"
sr_pp_s50_x15000,4.14047,"+4,1 procentpunt","scenario s=50%, X=15000 euro: verschil beroepssolidariteit 2023"
sr_tab_s50_x15000,4.14047,"+4,1","scenario s=50%, X=15000 euro: procentpunt (tabelweergave)"
sr_mio_s50_x15000,386.368,+386,"scenario s=50%, X=15000 euro: verschil in miljoen euro"
sr_pp_s50_x20000,6.02171,"+6,0 procentpunt","scenario s=50%, X=20000 euro: verschil beroepssolidariteit 2023"
sr_tab_s50_x20000,6.02171,"+6,0","scenario s=50%, X=20000 euro: procentpunt (tabelweergave)"
sr_mio_s50_x20000,561.916,+562,"scenario s=50%, X=20000 euro: verschil in miljoen euro"
sr_pp_s75_x0,-1.50324,"-1,5 procentpunt","scenario s=75%, X=0 euro: verschil beroepssolidariteit 2023"
sr_tab_s75_x0,-1.50324,"-1,5","scenario s=75%, X=0 euro: procentpunt (tabelweergave)"
sr_mio_s75_x0,-140.275,-140,"scenario s=75%, X=0 euro: verschil in miljoen euro"
sr_pp_s75_x2000,-0.3745,"-0,4 procentpunt","scenario s=75%, X=2000 euro: verschil beroepssolidariteit 2023"
sr_tab_s75_x2000,-0.3745,"-0,4","scenario s=75%, X=2000 euro: procentpunt (tabelweergave)"
sr_mio_s75_x2000,-34.9464,-35,"scenario s=75%, X=2000 euro: verschil in miljoen euro"
sr_pp_s75_x5000,1.31861,"+1,3 procentpunt","scenario s=75%, X=5000 euro: verschil beroepssolidariteit 2023"
sr_tab_s75_x5000,1.31861,"+1,3","scenario s=75%, X=5000 euro: procentpunt (tabelweergave)"
sr_mio_s75_x5000,123.046,+123,"scenario s=75%, X=5000 euro: verschil in miljoen euro"
sr_pp_s75_x10000,4.14047,"+4,1 procentpunt","scenario s=75%, X=10000 euro: verschil beroepssolidariteit 2023"
sr_tab_s75_x10000,4.14047,"+4,1","scenario s=75%, X=10000 euro: procentpunt (tabelweergave)"
sr_mio_s75_x10000,386.368,+386,"scenario s=75%, X=10000 euro: verschil in miljoen euro"
sr_pp_s75_x15000,6.96232,"+7,0 procentpunt","scenario s=75%, X=15000 euro: verschil beroepssolidariteit 2023"
sr_tab_s75_x15000,6.96232,"+7,0","scenario s=75%, X=15000 euro: procentpunt (tabelweergave)"
sr_mio_s75_x15000,649.689,+650,"scenario s=75%, X=15000 euro: verschil in miljoen euro"
sr_pp_s75_x20000,9.78418,"+9,8 procentpunt","scenario s=75%, X=20000 euro: verschil beroepssolidariteit 2023"
sr_tab_s75_x20000,9.78418,"+9,8","scenario s=75%, X=20000 euro: procentpunt (tabelweergave)"
sr_mio_s75_x20000,913.011,+913,"scenario s=75%, X=20000 euro: verschil in miljoen euro"
sr_pp_s100_x0,-1.50324,"-1,5 procentpunt","scenario s=100%, X=0 euro: verschil beroepssolidariteit 2023"
sr_tab_s100_x0,-1.50324,"-1,5","scenario s=100%, X=0 euro: procentpunt (tabelweergave)"
sr_mio_s100_x0,-140.275,-140,"scenario s=100%, X=0 euro: verschil in miljoen euro"
sr_pp_s100_x2000,0.0017477,"0,0 procentpunt","scenario s=100%, X=2000 euro: verschil beroepssolidariteit 2023"
sr_tab_s100_x2000,0.0017477,"0,0","scenario s=100%, X=2000 euro: procentpunt (tabelweergave)"
sr_mio_s100_x2000,0.163087,0,"scenario s=100%, X=2000 euro: verschil in miljoen euro"
sr_pp_s100_x5000,2.25923,"+2,3 procentpunt","scenario s=100%, X=5000 euro: verschil beroepssolidariteit 2023"
sr_tab_s100_x5000,2.25923,"+2,3","scenario s=100%, X=5000 euro: procentpunt (tabelweergave)"
sr_mio_s100_x5000,210.82,+211,"scenario s=100%, X=5000 euro: verschil in miljoen euro"
sr_pp_s100_x10000,6.02171,"+6,0 procentpunt","scenario s=100%, X=10000 euro: verschil beroepssolidariteit 2023"
sr_tab_s100_x10000,6.02171,"+6,0","scenario s=100%, X=10000 euro: procentpunt (tabelweergave)"
sr_mio_s100_x10000,561.916,+562,"scenario s=100%, X=10000 euro: verschil in miljoen euro"
sr_pp_s100_x15000,9.78418,"+9,8 procentpunt","scenario s=100%, X=15000 euro: verschil beroepssolidariteit 2023"
sr_tab_s100_x15000,9.78418,"+9,8","scenario s=100%, X=15000 euro: procentpunt (tabelweergave)"
sr_mio_s100_x15000,913.011,+913,"scenario s=100%, X=15000 euro: verschil in miljoen euro"
sr_pp_s100_x20000,13.5467,"+13,5 procentpunt","scenario s=100%, X=20000 euro: verschil beroepssolidariteit 2023"
sr_tab_s100_x20000,13.5467,"+13,5","scenario s=100%, X=20000 euro: procentpunt (tabelweergave)"
sr_mio_s100_x20000,1264.11,+1.264,"scenario s=100%, X=20000 euro: verschil in miljoen euro"
sr_s50_x10000_deel_daling,30.88002671,31%,"scenario s=50%, X=10.000 als deel van de daling 2003-2023"
sr_typ1_winst,45000,€45.000,typegeval 1: winst
sr_typ1_bezoldiging,45000,€45.000,typegeval 1: bezoldiging
sr_typ1_eenmanszaak,9225,€9.225,typegeval 1: bijdrage als eenmanszaak
sr_typ1_vennootschap,9612.34,€9.612,typegeval 1: bijdrage via vennootschap
sr_typ1_verschil,-387.34,-€387,typegeval 1: verschil
sr_typ2_winst,60000,€60.000,typegeval 2: winst
sr_typ2_bezoldiging,45000,€45.000,typegeval 2: bezoldiging
sr_typ2_eenmanszaak,12300,€12.300,typegeval 2: bijdrage als eenmanszaak
sr_typ2_vennootschap,9612.34,€9.612,typegeval 2: bijdrage via vennootschap
sr_typ2_verschil,2687.66,+€2.688,typegeval 2: verschil
sr_typ3_winst,100000,€100.000,typegeval 3: winst
sr_typ3_bezoldiging,45000,€45.000,typegeval 3: bezoldiging
sr_typ3_eenmanszaak,18776.2,€18.776,typegeval 3: bijdrage als eenmanszaak
sr_typ3_vennootschap,9612.34,€9.612,typegeval 3: bijdrage via vennootschap
sr_typ3_verschil,9163.87,+€9.164,typegeval 3: verschil
sr_typ4_winst,50000,€50.000,typegeval 4: winst
sr_typ4_bezoldiging,0,€0,typegeval 4: bezoldiging
sr_typ4_eenmanszaak,10250,€10.250,typegeval 4: bijdrage als eenmanszaak
sr_typ4_vennootschap,3843.94,€3.844,typegeval 4: bijdrage via vennootschap
sr_typ4_verschil,6406.06,+€6.406,typegeval 4: verschil
mi_br_x_x_wn_x_p15000,30.66786667,31%,"bijdrage_ratio, -, -, WN, maand -: waarde bij €15000"
mi_br_x_x_wn_x_p2250,7.833333333,8%,"bijdrage_ratio, -, -, WN, maand -: waarde bij €2250"
mi_br_x_x_wn_x_p9000,29.52166667,30%,"bijdrage_ratio, -, -, WN, maand -: waarde bij €9000"
mi_br_x_x_ze_x_p15000,11.68709502,12%,"bijdrage_ratio, -, -, ZE, maand -: waarde bij €15000"
mi_br_x_x_ze_x_p1550,22.65750377,23%,"bijdrage_ratio, -, -, ZE, maand -: waarde bij €1550"
mi_br_x_x_ze_x_p3750,34.51177476,35%,"bijdrage_ratio, -, -, ZE, maand -: waarde bij €3750"
mi_br_x_x_ze_x_p4000,34.64514129,35%,"bijdrage_ratio, -, -, ZE, maand -: waarde bij €4000"
mi_br_x_x_ze_x_p5000,34.11432266,34%,"bijdrage_ratio, -, -, ZE, maand -: waarde bij €5000"
mi_br_x_x_ze_x_p5250,33.39170007,33%,"bijdrage_ratio, -, -, ZE, maand -: waarde bij €5250"
mi_br_x_x_ze_x_p9000,19.47849171,19%,"bijdrage_ratio, -, -, ZE, maand -: waarde bij €9000"
mi_br_x_x_zv00_x_p15000,2.194092389,2%,"bijdrage_ratio, -, -, ZV00, maand -: waarde bij €15000"
mi_br_x_x_zv00_x_p1550,21.23315215,21%,"bijdrage_ratio, -, -, ZV00, maand -: waarde bij €1550"
mi_br_x_x_zv00_x_p6000,5.485230972,5%,"bijdrage_ratio, -, -, ZV00, maand -: waarde bij €6000"
mi_br_x_x_zv50_x_p10000,17.06576582,17%,"bijdrage_ratio, -, -, ZV50, maand -: waarde bij €10000"
mi_br_x_x_zv50_x_p15000,11.90228391,12%,"bijdrage_ratio, -, -, ZV50, maand -: waarde bij €15000"
mi_br_x_x_zv50_x_p1550,21.23315215,21%,"bijdrage_ratio, -, -, ZV50, maand -: waarde bij €1550"
mi_br_x_x_zv50_x_p2500,13.16455433,13%,"bijdrage_ratio, -, -, ZV50, maand -: waarde bij €2500"
mi_br_x_x_zv75_x_p15000,11.90228391,12%,"bijdrage_ratio, -, -, ZV75, maand -: waarde bij €15000"
mi_br_x_x_zv75_x_p1550,21.23315215,21%,"bijdrage_ratio, -, -, ZV75, maand -: waarde bij €1550"
mi_br_x_x_zv75_x_p4750,25.89065503,26%,"bijdrage_ratio, -, -, ZV75, maand -: waarde bij €4750"
mi_eq_a_w_wn_m13_eerste_ge100,6750,€6.750,"equivalentiegraad, alleen, werkloosheid, WN, maand 1-3: eerste positie met minstens 100%"
mi_eq_a_w_wn_m13_gem,92.42296001,92%,"equivalentiegraad, alleen, werkloosheid, WN, maand 1-3: gemiddelde over de posities"
mi_eq_a_w_wn_m13_p15000,242.095822,242%,"equivalentiegraad, alleen, werkloosheid, WN, maand 1-3: waarde bij €15000"
mi_eq_a_w_wn_m13_vc,0.6878249964,"0,69","equivalentiegraad, alleen, werkloosheid, WN, maand 1-3: variatiecoëfficiënt"
mi_eq_a_w_ze_x_gem,89.41771653,89%,"equivalentiegraad, alleen, werkloosheid, ZE, maand -: gemiddelde over de posities"
mi_eq_a_w_ze_x_vc,0.3146794522,"0,31","equivalentiegraad, alleen, werkloosheid, ZE, maand -: variatiecoëfficiënt"
mi_eq_a_w_zv00_x_gem,20.40432507,20%,"equivalentiegraad, alleen, werkloosheid, ZV00, maand -: gemiddelde over de posities"
mi_eq_a_w_zv00_x_vc,0,"0,00","equivalentiegraad, alleen, werkloosheid, ZV00, maand -: variatiecoëfficiënt"
mi_eq_a_w_zv100_x_gem,91.39175789,91%,"equivalentiegraad, alleen, werkloosheid, ZV100, maand -: gemiddelde over de posities"
mi_eq_a_w_zv100_x_vc,0.3012318241,"0,30","equivalentiegraad, alleen, werkloosheid, ZV100, maand -: variatiecoëfficiënt"
mi_eq_a_w_zv100vaa_x_gem,91.3971259,91%,"equivalentiegraad, alleen, werkloosheid, ZV100VAA, maand -: gemiddelde over de posities"
mi_eq_a_w_zv100vaa_x_vc,0.301260921,"0,30","equivalentiegraad, alleen, werkloosheid, ZV100VAA, maand -: variatiecoëfficiënt"
mi_eq_a_w_zv50_x_gem,60.88081034,61%,"equivalentiegraad, alleen, werkloosheid, ZV50, maand -: gemiddelde over de posities"
mi_eq_a_w_zv50_x_vc,0.5294243235,"0,53","equivalentiegraad, alleen, werkloosheid, ZV50, maand -: variatiecoëfficiënt"
mi_eq_a_w_zv75_x_gem,80.03253351,80%,"equivalentiegraad, alleen, werkloosheid, ZV75, maand -: gemiddelde over de posities"
mi_eq_a_w_zv75_x_vc,0.398553095,"0,40","equivalentiegraad, alleen, werkloosheid, ZV75, maand -: variatiecoëfficiënt"
mi_eq_a_z_wn_m2_eerste_ge100,8000,€8.000,"equivalentiegraad, alleen, ziekte, WN, maand 2: eerste positie met minstens 100%"
mi_eq_a_z_wn_m2_gem,78.2498221,78%,"equivalentiegraad, alleen, ziekte, WN, maand 2: gemiddelde over de posities"
mi_eq_a_z_wn_m2_p15000,204.5722481,205%,"equivalentiegraad, alleen, ziekte, WN, maand 2: waarde bij €15000"
mi_eq_a_z_wn_m2_vc,0.6843934278,"0,68","equivalentiegraad, alleen, ziekte, WN, maand 2: variatiecoëfficiënt"
mi_eq_a_z_ze_x_eerste_ge100,4750,€4.750,"equivalentiegraad, alleen, ziekte, ZE, maand -: eerste positie met minstens 100%"
mi_eq_a_z_ze_x_gem,89.56305236,90%,"equivalentiegraad, alleen, ziekte, ZE, maand -: gemiddelde over de posities"
mi_eq_a_z_ze_x_p15000,108.862727,109%,"equivalentiegraad, alleen, ziekte, ZE, maand -: waarde bij €15000"
mi_eq_a_z_ze_x_p1550,21.80846679,22%,"equivalentiegraad, alleen, ziekte, ZE, maand -: waarde bij €1550"
mi_eq_a_z_ze_x_vc,0.3146794521,"0,31","equivalentiegraad, alleen, ziekte, ZE, maand -: variatiecoëfficiënt"
mi_eq_a_z_zv00_x_gem,20.43748941,20%,"equivalentiegraad, alleen, ziekte, ZV00, maand -: gemiddelde over de posities"
mi_eq_a_z_zv00_x_vc,0,"0,00","equivalentiegraad, alleen, ziekte, ZV00, maand -: variatiecoëfficiënt"
mi_eq_a_z_zv100_x_gem,91.54030222,92%,"equivalentiegraad, alleen, ziekte, ZV100, maand -: gemiddelde over de posities"
mi_eq_a_z_zv100_x_p15000,110.8671643,111%,"equivalentiegraad, alleen, ziekte, ZV100, maand -: waarde bij €15000"
mi_eq_a_z_zv100_x_p1550,26.05430559,26%,"equivalentiegraad, alleen, ziekte, ZV100, maand -: waarde bij €1550"
mi_eq_a_z_zv100_x_vc,0.301231824,"0,30","equivalentiegraad, alleen, ziekte, ZV100, maand -: variatiecoëfficiënt"
mi_eq_a_z_zv100vaa_x_gem,91.54567895,92%,"equivalentiegraad, alleen, ziekte, ZV100VAA, maand -: gemiddelde over de posities"
mi_eq_a_z_zv100vaa_x_vc,0.3012609209,"0,30","equivalentiegraad, alleen, ziekte, ZV100VAA, maand -: variatiecoëfficiënt"
mi_eq_a_z_zv50_x_eerste_ge100,9500,€9.500,"equivalentiegraad, alleen, ziekte, ZV50, maand -: eerste positie met minstens 100%"
mi_eq_a_z_zv50_x_gem,60.97976347,61%,"equivalentiegraad, alleen, ziekte, ZV50, maand -: gemiddelde over de posities"
mi_eq_a_z_zv50_x_vc,0.5294243234,"0,53","equivalentiegraad, alleen, ziekte, ZV50, maand -: variatiecoëfficiënt"
mi_eq_a_z_zv75_x_eerste_ge100,6500,€6.500,"equivalentiegraad, alleen, ziekte, ZV75, maand -: eerste positie met minstens 100%"
mi_eq_a_z_zv75_x_gem,80.16261504,80%,"equivalentiegraad, alleen, ziekte, ZV75, maand -: gemiddelde over de posities"
mi_eq_a_z_zv75_x_vc,0.3985530949,"0,40","equivalentiegraad, alleen, ziekte, ZV75, maand -: variatiecoëfficiënt"
mi_eq_k_w_wn_m13_gem,92.42308226,92%,"equivalentiegraad, koppel, werkloosheid, WN, maand 1-3: gemiddelde over de posities"
mi_eq_k_w_wn_m13_vc,0.6878221658,"0,69","equivalentiegraad, koppel, werkloosheid, WN, maand 1-3: variatiecoëfficiënt"
mi_eq_k_w_ze_x_gem,89.41771653,89%,"equivalentiegraad, koppel, werkloosheid, ZE, maand -: gemiddelde over de posities"
mi_eq_k_w_ze_x_vc,0.3146794522,"0,31","equivalentiegraad, koppel, werkloosheid, ZE, maand -: variatiecoëfficiënt"
mi_eq_k_w_zv00_x_gem,20.40432507,20%,"equivalentiegraad, koppel, werkloosheid, ZV00, maand -: gemiddelde over de posities"
mi_eq_k_w_zv00_x_vc,0,"0,00","equivalentiegraad, koppel, werkloosheid, ZV00, maand -: variatiecoëfficiënt"
mi_eq_k_w_zv100vaa_x_gem,91.3971259,91%,"equivalentiegraad, koppel, werkloosheid, ZV100VAA, maand -: gemiddelde over de posities"
mi_eq_k_w_zv100vaa_x_vc,0.301260921,"0,30","equivalentiegraad, koppel, werkloosheid, ZV100VAA, maand -: variatiecoëfficiënt"
mi_eq_k_w_zv50_x_gem,60.88081034,61%,"equivalentiegraad, koppel, werkloosheid, ZV50, maand -: gemiddelde over de posities"
mi_eq_k_w_zv50_x_vc,0.5294243235,"0,53","equivalentiegraad, koppel, werkloosheid, ZV50, maand -: variatiecoëfficiënt"
mi_eq_k_w_zv75_x_gem,80.03253351,80%,"equivalentiegraad, koppel, werkloosheid, ZV75, maand -: gemiddelde over de posities"
mi_eq_k_w_zv75_x_vc,0.398553095,"0,40","equivalentiegraad, koppel, werkloosheid, ZV75, maand -: variatiecoëfficiënt"
mi_eq_k_z_wn_m2_gem,78.25002564,78%,"equivalentiegraad, koppel, ziekte, WN, maand 2: gemiddelde over de posities"
mi_eq_k_z_wn_m2_vc,0.6843878528,"0,68","equivalentiegraad, koppel, ziekte, WN, maand 2: variatiecoëfficiënt"
mi_eq_k_z_ze_x_gem,116.7646612,117%,"equivalentiegraad, koppel, ziekte, ZE, maand -: gemiddelde over de posities"
mi_eq_k_z_ze_x_vc,0.3146794521,"0,31","equivalentiegraad, koppel, ziekte, ZE, maand -: variatiecoëfficiënt"
mi_eq_k_z_zv00_x_gem,26.64465384,27%,"equivalentiegraad, koppel, ziekte, ZV00, maand -: gemiddelde over de posities"
mi_eq_k_z_zv00_x_vc,0,"0,00","equivalentiegraad, koppel, ziekte, ZV00, maand -: variatiecoëfficiënt"
mi_eq_k_z_zv100vaa_x_gem,119.3494405,119%,"equivalentiegraad, koppel, ziekte, ZV100VAA, maand -: gemiddelde over de posities"
mi_eq_k_z_zv100vaa_x_vc,0.301260921,"0,30","equivalentiegraad, koppel, ziekte, ZV100VAA, maand -: variatiecoëfficiënt"
mi_eq_k_z_zv50_x_gem,79.50020947,80%,"equivalentiegraad, koppel, ziekte, ZV50, maand -: gemiddelde over de posities"
mi_eq_k_z_zv50_x_vc,0.5294243235,"0,53","equivalentiegraad, koppel, ziekte, ZV50, maand -: variatiecoëfficiënt"
